GPU available: False, used: False
TPU available: False, using: 0 TPU cores
IPU available: False, using: 0 IPUs
Pre-train Generator...






Epoch 0:  85%|████████▌ | 135/158 [00:12<00:02, 10.68it/s, loss=2.74, v_num=mqby]
100%|██████████| 156/156 [01:05<00:00,  2.38it/s]
Total Computational Time: [1m 0.61 [22m hours.
Results Report:
********************************************************************************
Total Mols:   9983
Validity:     9041    (90.56%)
Uniqueness:   8555    (94.62%)
Novelty:      7841    (91.65%)
Diversity:    0.88
Samples of Novel SMILES:
CC1CCCC2(CC1)CC1CCC2C1
CC1CCC2CC2C(C)C2CCC2C1
CCC1(C)C2CC3CC(C)(C2)C31
C1CC2(CCC3CC32)C2CC1C2
CCC(CC)C(C)C
[vol_nhoc]: [Mean: 0.357   STD: 0.231   MIN: 0.011   MAX: 0.954]
********************************************************************************
2025-08-17 00:08:28,492 INFO [eval] {"step": 0, "prop/validity": 0.9056395872984073, "prop/uniqueness": 0.9462448844154407, "prop/novelty": 0.9165400350672122, "prop/diversity": 0.8794403320759229, "prop/vol_nhoc_mean": 0.35699976965466085, "prop/vol_nhoc_std": 0.2307379023964693, "prop/vol_nhoc_min": 0.010605809006829002, "prop/vol_nhoc_max": 0.9544616173377332, "prop/objective": 0.6964848092180764, "epoch": 1}
Updating Discriminator...
[1mEpoch 2[22m / 100, G_STEP 1 / 1, PG_Loss: -32.094
Generating 10000 samples for evaluation...
































 98%|█████████▊| 153/156 [01:04<00:01,  1.79it/s]

100%|██████████| 156/156 [01:05<00:00,  2.37it/s]
Results Report:
********************************************************************************
Total Mols:   9984
Validity:     9066    (90.81%)
Uniqueness:   8538    (94.18%)
Novelty:      7833    (91.74%)
Diversity:    0.88
Samples of Novel SMILES:
CCC12CC(CC3CCC1C3)C2
CC1(C)CCC(C2(C)CC2)C1
CC1CCCCCCCCC2(CC1)CC2
CC1CCC2C3(C)CC4CC23C14
CCC1CC2(C)C1C1CC1CC2(C)C
[vol_nhoc]: [Mean: 0.363   STD: 0.231   MIN: 0.009   MAX: 0.953]
********************************************************************************
Updating Discriminator...
2025-08-17 00:28:19,047 INFO [eval] {"step": 1, "prop/validity": 0.9080528846153846, "prop/uniqueness": 0.9417604235605559, "prop/novelty": 0.9174279690794097, "prop/diversity": 0.8812902016534763, "prop/vol_nhoc_mean": 0.3628701106914663, "prop/vol_nhoc_std": 0.23141050163358198, "prop/vol_nhoc_min": 0.009193705367288087, "prop/vol_nhoc_max": 0.9533393514143234, "prop/objective": 0.6985962997276566, "epoch": 2}
[1mEpoch 3[22m / 100, G_STEP 1 / 1, PG_Loss: 14.651
Generating 10000 samples for evaluation...

































100%|██████████| 156/156 [01:06<00:00,  2.34it/s]
Total Computational Time: [1m 1.28 [22m hours.
Results Report:
********************************************************************************
Total Mols:   9984
Validity:     9130    (91.45%)
Uniqueness:   8668    (94.94%)
Novelty:      7985    (92.12%)
Diversity:    0.88
Samples of Novel SMILES:
CCCCC1(C)CCC12CC2
CC1CCC2CC2C(C)C2CCC2C1
CC(C)CC12C3CCC1CC(C3)C2C
CCC(CC)C(C)C
CCC1CC1CC(CC)C(C)(C)C(C)C
2025-08-17 00:48:49,777 INFO [eval] {"step": 2, "prop/validity": 0.9144631410256411, "prop/uniqueness": 0.9493975903614458, "prop/novelty": 0.9212044300876788, "prop/diversity": 0.881875102281905, "prop/vol_nhoc_mean": 0.37413594579898785, "prop/vol_nhoc_std": 0.22840398149522018, "prop/vol_nhoc_min": 0.01007110655924399, "prop/vol_nhoc_max": 0.9574579132807363, "prop/objective": 0.7066674106145483, "epoch": 3}
[vol_nhoc]: [Mean: 0.374   STD: 0.228   MIN: 0.010   MAX: 0.957]
********************************************************************************
Updating Discriminator...
  1%|▏         | 2/156 [00:00<01:01,  2.50it/s]
[1mEpoch 4[22m / 100, G_STEP 1 / 1, PG_Loss: 15.216































100%|██████████| 156/156 [01:03<00:00,  2.47it/s]
Total Computational Time: [1m 1.63 [22m hours.
Results Report:
********************************************************************************
Total Mols:   9984
Validity:     9207    (92.22%)
Uniqueness:   8705    (94.55%)
Novelty:      8032    (92.27%)
Diversity:    0.88
Samples of Novel SMILES:
C1CC2CCCC3CC(C1)CC3C2
CC1CC2CC3(C)CCCCCC23C1
CCC1(C)C2CC3CC(C)(C2)C31
C1CC2(C1)C1C3CC3C12
CCC(CC)C(C)C
[vol_nhoc]: [Mean: 0.380   STD: 0.225   MIN: 0.009   MAX: 0.958]
********************************************************************************
Updating Discriminator...
2025-08-17 01:09:21,114 INFO [eval] {"step": 3, "prop/validity": 0.9221754807692307, "prop/uniqueness": 0.9454762680569132, "prop/novelty": 0.9226881102814475, "prop/diversity": 0.8819004404117371, "prop/vol_nhoc_mean": 0.37978510997105436, "prop/vol_nhoc_std": 0.225401069276938, "prop/vol_nhoc_min": 0.009193705367288087, "prop/vol_nhoc_max": 0.9577102281579662, "prop/objective": 0.7099820158099401, "epoch": 4}
[1mEpoch 5[22m / 100, G_STEP 1 / 1, PG_Loss: -11.978
Generating 10000 samples for evaluation...































100%|██████████| 156/156 [01:05<00:00,  2.38it/s]
Total Computational Time: [1m 1.97 [22m hours.
Results Report:
********************************************************************************
Total Mols:   9984
Validity:     9170    (91.85%)
Uniqueness:   8638    (94.20%)
Novelty:      7968    (92.24%)
Diversity:    0.88
Samples of Novel SMILES:
CC1CCC23CCCCC12C3(C)C
CC1CCC(C(C)C2CCC23CC3)C1
CCC1CCC2C(C)C(C)C(C)CCC12
CC12CCCCC1CCC1CC(CC2)C1
CCC(CC)C(C)C
2025-08-17 01:29:37,176 INFO [eval] {"step": 4, "prop/validity": 0.9184695512820513, "prop/uniqueness": 0.9419847328244275, "prop/novelty": 0.9224357490159759, "prop/diversity": 0.8825886549223094, "prop/vol_nhoc_mean": 0.39549880804578746, "prop/vol_nhoc_std": 0.22485784972214956, "prop/vol_nhoc_min": 0.009193705367288087, "prop/vol_nhoc_max": 0.9574579132807363, "prop/objective": 0.7147775298428058, "epoch": 5}
[vol_nhoc]: [Mean: 0.395   STD: 0.225   MIN: 0.009   MAX: 0.957]
********************************************************************************
Updating Discriminator...
  1%|▏         | 2/156 [00:00<00:59,  2.59it/s]
[1mEpoch 6[22m / 100, G_STEP 1 / 1, PG_Loss: 7.284

































100%|██████████| 156/156 [01:05<00:00,  2.38it/s]
Total Computational Time: [1m 2.31 [22m hours.
Results Report:
********************************************************************************
Total Mols:   9984
Validity:     9238    (92.53%)
Uniqueness:   8681    (93.97%)
Novelty:      7962    (91.72%)
Diversity:    0.88
Samples of Novel SMILES:
CCC12CC3CC3CC1(C)C2
CC1CCC2CC(C)(C(C)C2C)C(C)(C)C1
CC12CCC(CC3CC(C3)C1)C2
CCC(CC)C(C)C
CC1(C)CCC(C2(C)CC2)C1
2025-08-17 01:49:51,255 INFO [eval] {"step": 5, "prop/validity": 0.9252804487179487, "prop/uniqueness": 0.9397055639748864, "prop/novelty": 0.9171754406174404, "prop/diversity": 0.8824003979288981, "prop/vol_nhoc_mean": 0.3998542030251436, "prop/vol_nhoc_std": 0.22346639127631032, "prop/vol_nhoc_min": 0.01007110655924399, "prop/vol_nhoc_max": 0.9531894898412783, "prop/objective": 0.7163739718721125, "epoch": 6}
[vol_nhoc]: [Mean: 0.400   STD: 0.223   MIN: 0.010   MAX: 0.953]
********************************************************************************
Updating Discriminator...
[1mEpoch 7[22m / 100, G_STEP 1 / 1, PG_Loss: 33.314
Generating 10000 samples for evaluation...
































 99%|█████████▉| 155/156 [01:04<00:00,  2.38it/s]

100%|██████████| 156/156 [01:05<00:00,  2.40it/s]
Results Report:
********************************************************************************
Total Mols:   9984
Validity:     9264    (92.79%)
Uniqueness:   8705    (93.97%)
Novelty:      8002    (91.92%)
Diversity:    0.88
Samples of Novel SMILES:
CCC12CC(CC3CCC1C3)C2
CCC(C)C1CCC(C)(CC)CC(C)C(C)C1
C1CCC(C2CCCC3CC32)C1
CCC(CC)C(C)C
CCC(C)C1CC2CCC1CC(C)(CC)C2
2025-08-17 02:09:35,838 INFO [eval] {"step": 6, "prop/validity": 0.9278846153846154, "prop/uniqueness": 0.9396588946459413, "prop/novelty": 0.9192418150488225, "prop/diversity": 0.8833623909422516, "prop/vol_nhoc_mean": 0.4088856796167038, "prop/vol_nhoc_std": 0.22420115268331509, "prop/vol_nhoc_min": 0.009880066775680613, "prop/vol_nhoc_max": 0.9559310281675567, "prop/objective": 0.7209113368625574, "epoch": 7}
[vol_nhoc]: [Mean: 0.409   STD: 0.224   MIN: 0.010   MAX: 0.956]
********************************************************************************
Updating Discriminator...
  1%|▏         | 2/156 [00:00<01:00,  2.54it/s]
[1mEpoch 8[22m / 100, G_STEP 1 / 1, PG_Loss: 33.479


































100%|██████████| 156/156 [01:07<00:00,  2.30it/s]
Total Computational Time: [1m 2.97 [22m hours.
Results Report:
********************************************************************************
Total Mols:   9984
Validity:     9252    (92.67%)
Uniqueness:   8655    (93.55%)
Novelty:      7994    (92.36%)
Diversity:    0.88
Samples of Novel SMILES:
CCCC1(C)CCC(C)C2CC(C)(CC1)C2
CCCC12CC3CCC1(C)C3CC2C
CC1CCCC2CC(C)C(CCC1)C2C
CC1CC2CC(C)(C1)C1(C)CC2CCC1(C)C
CCC1(CCC2CC2C)CCCC1C
2025-08-17 02:29:49,452 INFO [eval] {"step": 7, "prop/validity": 0.9266826923076923, "prop/uniqueness": 0.935473411154345, "prop/novelty": 0.9236279607163489, "prop/diversity": 0.8827238228389644, "prop/vol_nhoc_mean": 0.41464997083290034, "prop/vol_nhoc_std": 0.2221917845724672, "prop/vol_nhoc_min": 0.009193705367288087, "prop/vol_nhoc_max": 0.9246332873274717, "prop/objective": 0.7230168011688374, "epoch": 8}
[vol_nhoc]: [Mean: 0.415   STD: 0.222   MIN: 0.009   MAX: 0.925]
********************************************************************************
Updating Discriminator...
[1mEpoch 9[22m / 100, G_STEP 1 / 1, PG_Loss: 55.618
  1%|          | 1/156 [00:00<01:16,  2.03it/s]































100%|██████████| 156/156 [01:02<00:00,  2.50it/s]
Total Computational Time: [1m 3.29 [22m hours.
Results Report:
********************************************************************************
Total Mols:   9984
Validity:     9311    (93.26%)
Uniqueness:   8618    (92.56%)
Novelty:      7902    (91.69%)
Diversity:    0.88
Samples of Novel SMILES:
CC1CC2CC3CCC(C)(C)C3C2C1
CCC12C(C)C1C1C(C)CC12
CC12CCC3C(C1)C32C
CCCCCCC1(C)CC12CCCCC2
CC1CCC2CCC(C)C3CC(C1)C23
2025-08-17 02:48:17,210 INFO [eval] {"step": 8, "prop/validity": 0.9325921474358975, "prop/uniqueness": 0.9255719041993341, "prop/novelty": 0.9169180784404735, "prop/diversity": 0.8838241154948373, "prop/vol_nhoc_mean": 0.42649634243677237, "prop/vol_nhoc_std": 0.22102837420757412, "prop/vol_nhoc_min": 0.009412265551528035, "prop/vol_nhoc_max": 0.9359401378779675, "prop/objective": 0.72561496298985, "epoch": 9}
[vol_nhoc]: [Mean: 0.426   STD: 0.221   MIN: 0.009   MAX: 0.936]
********************************************************************************
Updating Discriminator...
[1mEpoch 10[22m / 100, G_STEP 1 / 1, PG_Loss: 30.808
Generating 10000 samples for evaluation...
































 99%|█████████▊| 154/156 [01:07<00:00,  2.53it/s]

100%|██████████| 156/156 [01:08<00:00,  2.28it/s]
Results Report:
********************************************************************************
Total Mols:   9984
Validity:     9291    (93.06%)
Uniqueness:   8554    (92.07%)
Novelty:      7852    (91.79%)
Diversity:    0.88
Samples of Novel SMILES:
CC1CC1C1C(C)CCC1C
CCC12CC(C)C3CCC31C2
CCCC1(C)CC2CCCCCC(CC2)C1
CC1(C)CCC(C2(C)CC2)C1
CCC12CC3(C)CCC(C3)C1C2C
[vol_nhoc]: [Mean: 0.430   STD: 0.218   MIN: 0.012   MAX: 0.930]
********************************************************************************
Updating Discriminator...
2025-08-17 03:07:16,933 INFO [eval] {"step": 9, "prop/validity": 0.9305889423076923, "prop/uniqueness": 0.9206759229361748, "prop/novelty": 0.9179331306990881, "prop/diversity": 0.8834356615510989, "prop/vol_nhoc_mean": 0.4296137525208625, "prop/vol_nhoc_std": 0.2184363923059251, "prop/vol_nhoc_min": 0.011678209478444635, "prop/vol_nhoc_max": 0.9295438875219264, "prop/objective": 0.725685100196936, "epoch": 10}
  1%|          | 1/156 [00:00<01:07,  2.31it/s]
[1mEpoch 11[22m / 100, G_STEP 1 / 1, PG_Loss: 35.790










































 99%|█████████▉| 155/156 [01:24<00:00,  1.60it/s]

100%|██████████| 156/156 [01:25<00:00,  1.83it/s]
Results Report:
********************************************************************************
Total Mols:   9984
Validity:     9366    (93.81%)
Uniqueness:   8699    (92.88%)
Novelty:      8013    (92.11%)
Diversity:    0.88
Samples of Novel SMILES:
CCCC1CCCC(CC)C2CC(C)C1(C)C2
CCCC1CCC(CCCC(C)CC)CC1(C)C
CC1C2CCC1(C)CCC1CCC12
CCC1(C)CC2(CC2)CC12CC2
CCC(CC)C(C)C
[vol_nhoc]: [Mean: 0.436   STD: 0.222   MIN: 0.014   MAX: 0.956]
********************************************************************************
Updating Discriminator...
2025-08-17 03:26:27,146 INFO [eval] {"step": 10, "prop/validity": 0.9381009615384616, "prop/uniqueness": 0.9287849669015589, "prop/novelty": 0.92114036096103, "prop/diversity": 0.8834188144605363, "prop/vol_nhoc_mean": 0.4364115358316141, "prop/vol_nhoc_std": 0.2216360555665239, "prop/vol_nhoc_min": 0.01380404703868797, "prop/vol_nhoc_max": 0.9559310281675567, "prop/objective": 0.7321698722128558, "epoch": 11}
  0%|          | 0/156 [00:00<?, ?it/s]
[1mEpoch 12[22m / 100, G_STEP 1 / 1, PG_Loss: 27.193



































100%|██████████| 156/156 [01:09<00:00,  2.26it/s]
Total Computational Time: [1m 4.22 [22m hours.
Results Report:
********************************************************************************
Total Mols:   9984
Validity:     9366    (93.81%)
Uniqueness:   8635    (92.20%)
Novelty:      7950    (92.07%)
Diversity:    0.88
Samples of Novel SMILES:
CC12C3CC4CCC4C1C32
CC1CCCC2(CC1)CC1CCC2C1
CCC(C)(C)CCC(C)CC1(C)CC2CC21
CCC1(C)C2CCC3(CC3)C21
CCC(CC)C(C)C
[vol_nhoc]: [Mean: 0.444   STD: 0.215   MIN: 0.016   MAX: 0.954]
********************************************************************************
Updating Discriminator...
2025-08-17 03:44:22,504 INFO [eval] {"step": 11, "prop/validity": 0.9381009615384616, "prop/uniqueness": 0.9219517403373906, "prop/novelty": 0.9206716850028952, "prop/diversity": 0.8836022931177854, "prop/vol_nhoc_mean": 0.443994023701317, "prop/vol_nhoc_std": 0.21464742494772693, "prop/vol_nhoc_min": 0.01648740339092625, "prop/vol_nhoc_max": 0.9544616173377332, "prop/objective": 0.7337424868562763, "epoch": 12}
[1mEpoch 13[22m / 100, G_STEP 1 / 1, PG_Loss: 65.469
Generating 10000 samples for evaluation...



































 99%|█████████▊| 154/156 [01:11<00:00,  2.56it/s]

100%|██████████| 156/156 [01:12<00:00,  2.15it/s]
Results Report:
********************************************************************************
Total Mols:   9984
Validity:     9341    (93.56%)
Uniqueness:   8554    (91.57%)
Novelty:      7850    (91.77%)
Diversity:    0.88
Samples of Novel SMILES:
CCC(CC)C(C)C
CC1CCC2(C1)CC2C(C)C(C)C
CCC(C)CC1(C)C(CC)CC1(C)C(C)C
CC1(C)C2CCC1(C1CC1)C2
CC(C)CC1CC1C1CC1
